Period,Promoters +,FIIs +,DIIs +,Public +,No. of Shareholders,Stock,Government +,Others +
2022-12-01,25.95%,40.90%,20.09%,13.05%,543736,KOTAKBANK,,
2022-12-01,40.10%,20.30%,12.69%,25.44%,513971,KPITTECH,,1.46%
2022-12-01,27.20%,21.90%,9.51%,41.38%,423931,LAURUSLABS,,
2022-12-01,69.46%,7.35%,5.95%,17.22%,70230,MOTILALOFS,,
2022-12-01,60.79%,6.60%,20.23%,12.34%,707706,NMDC,,
2022-12-01,,72.80%,1.87%,25.32%,1200100,PAYTM,,
2022-12-01,61.33%,2.32%,6.47%,29.86%,12918,PGEL,,0.01%
2022-12-01,32.87%,17.61%,7.69%,41.84%,279331,PRAJIND,,
2022-12-01,50.49%,23.48%,15.26%,10.59%,3362915,RELIANCE,0.16%,
2022-12-01,65.00%,4.34%,10.73%,19.94%,1625637,SAIL,0.00%,
2022-12-01,71.89%,9.62%,0.00%,18.50%,24528,SKIPPER,,
2022-12-01,14.50%,7.65%,5.82%,72.02%,2431136,SUZLON,0.00%,
2022-12-01,46.39%,13.89%,15.21%,24.36%,3993043,TATAMOTORS,0.14%,
2022-12-01,69.68%,7.90%,11.05%,11.07%,1298599,VEDL,0.07%,0.22%
2022-12-01,,23.24%,38.19%,38.54%,4813411,YESBANK,0.01%,
2022-12-01,74.98%,2.52%,13.61%,8.81%,370396,ZYDUSLIFE,0.07%,
2023-03-01,75.00%,8.45%,8.98%,7.56%,106396,ABB,,
2023-03-01,57.26%,17.13%,1.45%,24.16%,746294,ADANIGREEN,,
2023-03-01,61.03%,17.99%,13.02%,7.95%,1098596,ADANIPORTS,0.00%,
2023-03-01,51.14%,16.42%,25.50%,6.95%,780211,BEL,,
2023-03-01,63.17%,8.58%,15.50%,12.76%,1016936,BHEL,,
2023-03-01,20.00%,14.67%,18.48%,46.85%,828853,CDSL,,
2023-03-01,33.55%,27.42%,21.83%,16.99%,475293,CIPLA,0.21%,
2023-03-01,26.69%,27.25%,23.05%,22.78%,232715,DRREDDY,,0.22%
2023-03-01,45.99%,12.32%,18.92%,22.76%,717785,EXIDEIND,,
2023-03-01,71.65%,9.07%,13.93%,5.34%,358317,HAL,0.00%,
2023-03-01,64.92%,0.80%,2.94%,1.79%,321016,HINDZINC,29.54%,
2023-03-01,50.36%,2.28%,0.54%,13.64%,3138338,IDEA,33.18%,
2023-03-01,86.36%,1.15%,2.62%,9.87%,1634919,IRFC,,
2023-03-01,56.49%,21.24%,7.47%,14.80%,96936,JMFINANCIL,,
2023-03-01,63.57%,8.16%,12.96%,15.31%,45643,KAYNES,,
2023-03-01,74.45%,1.27%,4.83%,19.45%,43098,KOLTEPATIL,,
2023-03-01,25.95%,39.42%,21.31%,13.30%,582733,KOTAKBANK,,
2023-03-01,39.49%,23.42%,12.30%,23.41%,476890,KPITTECH,,1.39%
2023-03-01,27.20%,22.42%,9.74%,40.64%,418615,LAURUSLABS,,
2023-03-01,69.68%,6.47%,6.28%,17.58%,69663,MOTILALOFS,,
2023-03-01,60.79%,7.33%,19.39%,12.47%,713832,NMDC,,
2023-03-01,,71.83%,3.19%,24.98%,1120566,PAYTM,,
2023-03-01,61.33%,1.97%,7.17%,29.53%,12848,PGEL,,0.01%
