Period,Promoters +,FIIs +,DIIs +,Public +,No. of Shareholders,Stock,Government +,Others +
2024-12-01,63.42%,1.38%,4.12%,3.16%,694430,HINDZINC,27.92%,
2024-12-01,37.32%,10.17%,4.28%,25.05%,5976507,IDEA,23.18%,
2024-12-01,86.36%,1.01%,1.24%,11.40%,5540767,IRFC,,
2024-12-01,47.12%,15.62%,12.46%,24.61%,4978984,JIOFIN,0.17%,
2024-12-01,56.43%,17.02%,7.20%,19.36%,189596,JMFINANCIL,,
2024-12-01,57.75%,14.84%,15.04%,12.37%,192214,KAYNES,,
2024-12-01,69.45%,3.05%,5.96%,21.54%,55264,KOLTEPATIL,,
2024-12-01,25.88%,32.48%,28.79%,12.83%,746602,KOTAKBANK,,
2024-12-01,39.47%,17.35%,20.41%,21.82%,618571,KPITTECH,,0.93%
2024-12-01,27.62%,25.56%,12.74%,34.09%,292214,LAURUSLABS,,
2024-12-01,68.71%,5.88%,6.39%,19.01%,226754,MOTILALOFS,,
2024-12-01,60.79%,12.12%,14.46%,12.62%,1049959,NMDC,,
2024-12-01,,56.20%,11.88%,31.93%,989752,PAYTM,,
2024-12-01,49.37%,10.29%,16.22%,24.11%,135421,PGEL,,0.00%
2024-12-01,32.81%,18.63%,18.19%,30.38%,353099,PRAJIND,,
2024-12-01,50.13%,19.16%,19.02%,11.52%,4714959,RELIANCE,0.18%,
2024-12-01,65.00%,2.59%,15.86%,16.55%,2040669,SAIL,0.00%,
2024-12-01,66.48%,4.82%,0.48%,28.23%,90627,SKIPPER,,
2024-12-01,13.25%,22.87%,9.31%,54.56%,5468871,SUZLON,0.00%,
2024-12-01,42.58%,18.66%,16.54%,21.91%,6462123,TATAMOTORS,0.31%,
2024-12-01,56.38%,12.02%,15.49%,15.92%,1999975,VEDL,0.07%,0.11%
2024-12-01,,26.74%,38.84%,34.42%,6283710,YESBANK,0.01%,
2024-12-01,74.98%,7.53%,10.61%,6.85%,365356,ZYDUSLIFE,0.05%,
2025-03-01,75.00%,10.27%,7.01%,7.70%,171077,ABB,,
2025-03-01,60.93%,12.45%,2.40%,24.22%,995700,ADANIGREEN,,
2025-03-01,65.89%,13.43%,14.73%,5.94%,1262911,ADANIPORTS,0.00%,
2025-03-01,51.14%,17.55%,20.87%,10.43%,2678435,BEL,,
2025-03-01,63.17%,7.19%,16.34%,13.29%,2120567,BHEL,,
2025-03-01,15.00%,11.34%,15.41%,58.25%,1529589,CDSL,,
2025-03-01,29.20%,26.28%,27.89%,16.36%,543420,CIPLA,0.26%,
2025-03-01,26.64%,25.75%,25.63%,21.69%,459605,DRREDDY,,0.29%
2025-03-01,45.99%,11.60%,17.15%,25.25%,1338262,EXIDEIND,,
2025-03-01,71.64%,12.08%,8.26%,7.97%,1352377,HAL,0.04%,
2025-03-01,63.42%,1.43%,4.14%,3.10%,712884,HINDZINC,27.92%,
2025-03-01,38.80%,10.10%,4.90%,23.55%,6054755,IDEA,22.63%,
2025-03-01,86.36%,0.98%,1.34%,11.32%,5635775,IRFC,,
2025-03-01,47.12%,11.66%,14.21%,26.83%,5259483,JIOFIN,0.17%,
2025-03-01,56.50%,17.48%,7.07%,18.94%,187163,JMFINANCIL,,
2025-03-01,57.75%,11.17%,16.98%,14.10%,230533,KAYNES,,
2025-03-01,69.45%,4.15%,5.59%,20.81%,54497,KOLTEPATIL,,
2025-03-01,25.88%,32.65%,29.13%,12.34%,705616,KOTAKBANK,,
2025-03-01,39.47%,17.17%,21.29%,21.15%,615957,KPITTECH,,0.89%
2025-03-01,27.62%,25.51%,11.78%,35.09%,292905,LAURUSLABS,,
2025-03-01,68.45%,6.01%,5.71%,19.83%,287331,MOTILALOFS,,
2025-03-01,60.79%,11.72%,15.12%,12.35%,1120681,NMDC,,
2025-03-01,,55.39%,14.02%,30.60%,967955,PAYTM,,
2025-03-01,49.37%,10.45%,16.37%,23.80%,158667,PGEL,,0.00%
2025-03-01,32.81%,17.16%,19.51%,30.52%,351432,PRAJIND,,
2025-03-01,50.10%,19.07%,19.36%,11.29%,4765728,RELIANCE,0.17%,
2025-03-01,65.00%,3.21%,15.75%,16.05%,2046326,SAIL,0.00%,
2025-03-01,66.48%,5.13%,0.30%,28.08%,95774,SKIPPER,,
2025-03-01,13.25%,23.04%,8.73%,54.98%,5674619,SUZLON,0.00%,
2025-03-01,42.58%,17.84%,16.88%,22.39%,6728246,TATAMOTORS,0.31%,
2025-03-01,56.38%,11.15%,16.38%,15.89%,2046988,VEDL,0.07%,0.13%
2025-03-01,,26.88%,39.52%,33.60%,6327641,YESBANK,0.01%,
2025-03-01,75.00%,7.31%,10.95%,6.69%,371619,ZYDUSLIFE,0.05%,
2025-04-01,25.57%,6.56%,3.41%,15.44%,6077186,IDEA,49.02%,
