Period,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit +,EPS in Rs,Raw PDF,Stock,Revenue +,Financing Profit,Financing Margin %,Gross NPA %,Net NPA %
2024-06-01,,12263,,,13042,6805,0,9811,25%,7448,37.47,,KOTAKBANK,15837,-3231,-20%,1.39%,0.38%
2024-06-01,1365,1077,288,21%,54,13,53,277,26%,204,7.45,,KPITTECH,,,,,
2024-06-01,1195,1024,171,14%,3,49,106,18,34%,13,0.23,,LAURUSLABS,,,,,
2024-06-01,2312,920,1393,60%,5,318,22,1059,17%,884,14.77,,MOTILALOFS,,,,,
2024-06-01,5414,3074,2340,43%,365,23,74,2608,25%,1969,2.24,,NMDC,,,,,
2024-06-01,1502,2295,-794,-53%,138,4,178,-839,0%,-840,-13.19,,PAYTM,,,,,
2024-06-01,1321,1190,131,10%,4,18,15,101,16%,84,3.21,,PGEL,,,,,
2024-06-01,699,607,92,13%,40,5,20,107,21%,84,4.58,,PRAJIND,,,,,
2024-06-01,231784,193019,38765,17%,3983,5918,13596,23234,25%,17445,11.19,,RELIANCE,,,,,
2024-06-01,23998,21778,2220,9%,-28,691,1402,98,17%,82,0.20,,SAIL,,,,,
2024-06-01,1092,987,105,10%,4,51,15,43,25%,32,2.87,,SKIPPER,,,,,
2024-06-01,2022,1652,370,18%,23,45,46,302,0%,302,0.22,,SUZLON,,,,,
2024-06-01,108048,92263,15785,15%,1747,2088,6574,8870,36%,5692,16.74,,TATAMOTORS,,,,,
2024-06-01,35764,25819,9945,28%,934,2222,2731,5926,14%,5095,9.70,,VEDL,,,,,
2024-06-01,,2820,,,1271,5486,0,691,25%,516,0.16,,YESBANK,7725,-580,-8%,1.70%,0.50%
2024-06-01,6208,4124,2084,34%,63,32,215,1900,23%,1482,14.11,,ZYDUSLIFE,,,,,
2024-09-01,3055,850,2205,72%,224,1369,618,442,6%,515,1.74,,ADANIGREEN,,,,,
2024-09-01,7067,2832,4235,60%,254,527,1077,2885,16%,2413,11.32,,ADANIPORTS,,,,,
2024-09-01,4605,3205,1400,30%,158,1,111,1445,25%,1093,1.49,,BEL,,,,,
2024-09-01,6584,6309,275,4%,128,201,60,141,25%,106,0.30,,BHEL,,,,,
2024-09-01,322,122,200,62%,37,0,12,225,28%,162,7.75,,CDSL,,,,,
2024-09-01,7051,5165,1886,27%,191,15,272,1789,27%,1305,16.13,,CIPLA,,,,,
2024-09-01,8038,5962,2076,26%,314,76,397,1917,30%,1342,15.05,,DRREDDY,,,,,
2024-09-01,4450,3978,472,11%,40,34,146,332,30%,233,2.72,,EXIDEIND,,,,,
2024-09-01,5976,4336,1640,27%,560,0,178,2023,25%,1510,22.59,,HAL,,,,,
2024-09-01,8252,4129,4123,50%,187,303,877,3130,26%,2327,5.51,,HINDZINC,,,,,
2024-09-01,10932,6383,4550,42%,300,6614,5404,-7168,0%,-7176,-1.03,,IDEA,,,,,
2024-09-01,694,140,553,80%,226,0,6,773,11%,689,1.08,,JIOFIN,,,,,
2024-09-01,1191,700,491,41%,21,343,15,154,6%,144,2.43,,JMFINANCIL,,,,,
2024-09-01,572,490,82,14%,34,22,9,85,29%,60,9.41,,KAYNES,,,,,
2024-09-01,308,292,16,5%,14,11,2,17,40%,10,1.28,,KOLTEPATIL,,,,,
2024-09-01,,13094,,,10453,7139,0,6647,25%,5044,25.37,,KOTAKBANK,16427,-3806,-23%,1.48%,0.45%
2024-09-01,1471,1174,297,20%,52,10,56,283,28%,204,7.43,,KPITTECH,,,,,
2024-09-01,1224,1045,178,15%,5,53,108,23,22%,20,0.37,,LAURUSLABS,,,,,
2024-09-01,2838,1025,1813,64%,11,347,23,1454,23%,1122,18.71,,MOTILALOFS,,,,,
2024-09-01,4919,3533,1386,28%,361,29,103,1614,26%,1205,1.38,,NMDC,,,,,
2024-09-01,1660,2063,-403,-24%,1524,3,179,939,1%,930,14.58,,PAYTM,,,,,
2024-09-01,671,615,56,8%,4,15,15,30,35%,19,0.74,,PGEL,,,,,
2024-09-01,816,730,86,11%,14,5,21,74,28%,54,2.93,,PRAJIND,,,,,
2024-09-01,231535,192477,39058,17%,4876,6017,12880,25037,24%,19323,12.24,,RELIANCE,,,,,
2024-09-01,24675,21762,2913,12%,322,758,1304,1173,24%,897,2.17,,SAIL,,,,,
2024-09-01,1110,998,111,10%,3,55,15,44,26%,33,2.92,,SKIPPER,,,,,
2024-09-01,2103,1809,294,14%,18,56,54,202,0%,201,0.15,,SUZLON,,,,,
2024-09-01,101450,89291,12159,12%,1647,2034,6005,5767,40%,3450,9.08,,TATAMOTORS,,,,,
2024-09-01,37634,27806,9828,26%,3168,2667,2696,7633,27%,5603,11.13,,VEDL,,,,,
2024-09-01,,2984,,,1488,5544,0,697,19%,567,0.18,,YESBANK,7737,-791,-10%,1.60%,0.50%
2024-09-01,5237,3776,1461,28%,68,25,234,1271,29%,920,9.06,,ZYDUSLIFE,,,,,
2024-12-01,2340,460,1880,80%,280,1251,618,291,-37%,474,3.11,,ADANIGREEN,,,,,
2024-12-01,7964,3161,4802,60%,247,923,1106,3020,17%,2518,11.67,,ADANIPORTS,,,,,
2024-12-01,5771,4101,1669,29%,186,1,111,1744,25%,1312,1.79,,BEL,,,,,
2024-12-01,7277,6973,304,4%,126,184,68,179,25%,135,0.39,,BHEL,,,,,
2024-12-01,278,117,161,58%,21,0,13,168,23%,130,6.22,,CDSL,,,,,
2024-12-01,7073,5084,1989,28%,222,15,280,1916,17%,1575,19.45,,CIPLA,,,,,
2024-12-01,8381,6108,2273,27%,154,82,471,1874,25%,1404,16.94,,DRREDDY,,,,,
2024-12-01,4017,3592,425,11%,13,54,145,238,33%,158,1.84,,EXIDEIND,,,,,
2024-12-01,6957,5275,1683,24%,637,0,277,2042,30%,1440,21.53,,HAL,,,,,
2024-12-01,8614,4115,4499,52%,218,285,905,3527,24%,2678,6.34,,HINDZINC,,,,,
2024-12-01,11117,6405,4712,42%,250,5940,5629,-6607,0%,-6609,-0.95,,IDEA,,,,,
2024-12-01,438,125,313,71%,70,0,6,377,22%,295,0.46,,JIOFIN,,,,,
2024-12-01,1106,500,607,55%,14,318,16,287,28%,207,2.19,,JMFINANCIL,,,,,
2024-12-01,661,567,94,14%,25,27,11,81,18%,66,10.38,,KAYNES,,,,,
2024-12-01,350,324,26,7%,20,6,3,36,27%,26,3.33,,KOLTEPATIL,,,,,
2024-12-01,,10595,,,7313,7171,0,6180,25%,4701,23.64,,KOTAKBANK,16633,-1133,-7%,1.51%,0.44%
2024-12-01,1478,1172,306,21%,19,10,58,257,27%,187,6.82,,KPITTECH,,,,,
2024-12-01,1415,1130,285,20%,9,58,106,131,31%,93,1.71,,LAURUSLABS,,,,,
2024-12-01,1993,932,1061,53%,26,319,27,741,24%,566,9.42,,MOTILALOFS,,,,,
2024-12-01,6568,4196,2372,36%,375,61,103,2584,27%,1880,2.14,,NMDC,,,,,
2024-12-01,1828,2050,-223,-12%,189,4,165,-204,2%,-208,-3.27,,PAYTM,,,,,
2024-12-01,968,883,85,9%,7,22,16,54,25%,40,1.40,,PGEL,,,,,
2024-12-01,853,780,73,9%,14,4,23,59,30%,41,2.24,,PRAJIND,,,,,
2024-12-01,239986,196197,43789,18%,4214,6179,13181,28643,24%,21930,13.70,,RELIANCE,,,,,
2024-12-01,24490,22460,2030,8%,393,680,1421,323,56%,142,0.34,,SAIL,,,,,
2024-12-01,1135,1024,111,10%,4,50,17,48,25%,36,3.21,,SKIPPER,,,,,
2024-12-01,2975,2475,500,17%,28,70,66,391,1%,388,0.29,,SUZLON,,,,,
2024-12-01,112608,100185,12423,11%,1700,1119,5399,7605,28%,5485,14.69,,TATAMOTORS,,,,,
2024-12-01,39115,28011,11104,28%,680,2442,2681,6661,27%,4876,9.07,,VEDL,,,,,
2024-12-01,,2969,,,1583,5617,0,830,25%,619,0.20,,YESBANK,7833,-753,-10%,1.60%,0.50%
2024-12-01,5269,3882,1388,26%,57,32,229,1184,15%,1026,10.17,,ZYDUSLIFE,,,,,
2025-03-01,3073,671,2402,78%,39,1368,663,410,29%,383,1.45,,ADANIGREEN,,,,,
2025-03-01,8488,3482,5006,59%,426,715,1185,3532,14%,3023,13.95,,ADANIPORTS,,,,,
2025-03-01,9150,6334,2816,31%,195,6,138,2867,26%,2127,2.91,,BEL,,,,,
2025-03-01,8993,8162,832,9%,159,201,85,704,28%,504,1.45,,BHEL,,,,,
2025-03-01,224,115,109,49%,32,0,14,127,21%,100,4.80,,CDSL,,,,,
2025-03-01,6730,5192,1538,23%,289,14,309,1504,19%,1214,15.13,,CIPLA,,,,,
2025-03-01,8528,6530,1998,23%,528,66,455,2005,21%,1587,19.09,,DRREDDY,,,,,
2025-03-01,4335,3907,428,10%,44,35,148,290,35%,188,2.20,,EXIDEIND,,,,,
2025-03-01,13700,8405,5295,39%,669,8,736,5219,24%,3977,59.46,,HAL,,,,,
2025-03-01,9087,4267,4820,53%,227,251,1014,3782,21%,3003,7.11,,HINDZINC,,,,,
2025-03-01,11014,6354,4660,42%,217,6471,5571,-7166,0%,-7166,-1.00,,IDEA,,,,,
2025-03-01,493,155,338,69%,71,8,6,396,20%,316,0.50,,JIOFIN,,,,,
2025-03-01,1004,426,578,58%,23,274,16,311,25%,235,2.19,,JMFINANCIL,,,,,
2025-03-01,984,817,168,17%,20,29,17,142,18%,116,18.15,,KAYNES,,,,,
2025-03-01,719,612,106,15%,6,6,4,101,35%,66,8.59,,KOLTEPATIL,,,,,
2025-03-01,,13664,,,10402,7160,0,6351,23%,4933,24.81,,KOTAKBANK,16772,-4051,-24%,1.45%,0.36%
2025-03-01,1528,1205,323,21%,60,9,58,316,23%,245,8.93,,KPITTECH,,,,,
2025-03-01,1720,1300,421,24%,59,56,110,312,25%,233,4.33,,LAURUSLABS,,,,,
2025-03-01,1190,910,280,24%,18,298,26,-27,137%,-63,-1.08,,MOTILALOFS,,,,,
2025-03-01,7005,4953,2051,29%,492,65,141,2338,37%,1477,1.68,,NMDC,,,,,
2025-03-01,1912,2000,-89,-5%,-298,4,150,-542,0%,-545,-8.46,,PAYTM,,,,,
2025-03-01,1910,1698,212,11%,20,33,19,180,19%,145,5.13,,PGEL,,,,,
2025-03-01,860,786,74,9%,12,5,22,58,32%,40,2.17,,PRAJIND,,,,,
2025-03-01,261388,217556,43832,17%,4905,6155,13479,29103,23%,22611,14.34,,RELIANCE,,,,,
2025-03-01,29316,25832,3484,12%,362,664,1524,1657,25%,1251,3.03,,SAIL,,,,,
2025-03-01,1288,1164,124,10%,13,56,17,63,24%,48,4.25,,SKIPPER,,,,,
2025-03-01,3790,3096,693,18%,35,85,93,551,-114%,1181,0.87,,SUZLON,,,,,
2025-03-01,119503,102685,16818,14%,1057,1076,5295,11504,26%,8556,23.01,,TATAMOTORS,,,,,
2025-03-01,40455,28989,11466,28%,762,2583,2988,6657,25%,4961,8.91,,VEDL,,,,,
2025-03-01,,3080,,,1815,5352,0,1006,26%,745,0.24,,YESBANK,7623,-809,-11%,1.60%,0.30%
2025-03-01,6528,4402,2126,33%,-139,77,238,1672,25%,1244,11.64,,ZYDUSLIFE,,,,,
