Period,Stock,Total Assets,Investments,Borrowings,Sales,Net Profit,EPS in Rs,Dividend Payout %,Net Cash Flow
2024-03-01,RELIANCE,1755048.0,225672.0,458991.0,899041.0,79020,51.45,10%,28561.0
2024-03-01,SAIL,141022.0,4589.0,36323.0,105378.0,3067,7.42,27%,12.0
2024-03-01,SKIPPER,3145.0,17.0,592.0,3282.0,82,7.23,1%,0.0
2024-03-01,SUZLON,7179.0,8.0,150.0,6529.0,660,0.49,0%,60.0
2024-03-01,TATAMOTORS,369521.0,22971.0,107264.0,434016.0,31807,94.47,7%,8128.0
2024-03-01,VEDL,188118.0,11869.0,87706.0,143727.0,7539,11.4,259%,-4114.0
2024-03-01,YESBANK,406362.0,89997.0,,,1285,0.45,0%,-38.0
2024-03-01,ZYDUSLIFE,28834.0,1220.0,804.0,19547.0,3973,38.36,8%,-75.0
2025-03-01,ADANIGREEN,110764.0,2743.0,80040.0,11212.0,2001,9.12,0%,604.0
2025-03-01,ADANIPORTS,133443.0,4659.0,51621.0,30475.0,11061,51.35,14%,523.0
2025-03-01,BEL,40832.0,743.0,61.0,23769.0,5323,7.28,33%,-493.0
2025-03-01,BHEL,68083.0,276.0,9015.0,28339.0,534,1.53,33%,-1396.0
2025-03-01,CDSL,2162.0,1351.0,3.0,1082.0,526,25.2,50%,14.0
2025-03-01,CIPLA,37387.0,7933.0,438.0,27548.0,5269,65.28,25%,21.0
2025-03-01,DRREDDY,49427.0,4051.0,4677.0,32644.0,5725,67.77,12%,726.0
2025-03-01,EXIDEIND,21396.0,6468.0,2017.0,17238.0,800,9.35,21%,-146.0
2025-03-01,HAL,106267.0,1754.0,1.0,30981.0,8364,125.07,20%,294.0
2025-03-01,HINDZINC,34490.0,9972.0,10967.0,34083.0,10353,24.5,118%,43.0
2025-03-01,IDEA,197867.0,0.0,233229.0,43571.0,-27383,-3.84,0%,89.0
2025-03-01,JIOFIN,133510.0,118910.0,3970.0,2043.0,1613,2.54,20%,285.0
2025-03-01,JMFINANCIL,24504.0,5464.0,11507.0,4378.0,774,8.59,31%,-1692.0
2025-03-01,KAYNES,4641.0,132.0,903.0,2722.0,293,45.84,0%,28.0
2025-03-01,KOLTEPATIL,5304.0,60.0,1139.0,1717.0,109,14.02,0%,-119.0
2025-03-01,KOTAKBANK,879774.0,284255.0,,,22126,111.29,0%,13809.0
2025-03-01,KPITTECH,5033.0,432.0,345.0,5842.0,840,30.63,28%,417.0
2025-03-01,LAURUSLABS,9336.0,233.0,2764.0,5554.0,358,6.64,18%,-39.0
2025-03-01,MOTILALOFS,33987.0,8851.0,14774.0,8339.0,2508,41.74,12%,882.0
2025-03-01,NMDC,41007.0,978.0,4276.0,23906.0,6531,7.44,44%,-25.0
2025-03-01,PAYTM,21448.0,4172.0,160.0,6900.0,-663,-10.33,0%,-2217.0
2025-03-01,PGEL,5121.0,8.0,384.0,4870.0,288,10.17,2%,51.0
2025-03-01,PRAJIND,3160.0,428.0,195.0,3228.0,219,11.91,50%,-47.0
2025-03-01,RELIANCE,1950121.0,242381.0,369575.0,964693.0,81309,51.47,11%,9277.0
2025-03-01,SAIL,136371.0,4976.0,36934.0,102479.0,2372,5.74,28%,222.0
2025-03-01,SKIPPER,3397.0,20.0,740.0,4624.0,149,13.24,1%,4.0
2025-03-01,SUZLON,12943.0,43.0,323.0,10890.0,2072,1.53,0%,683.0
2025-03-01,TATAMOTORS,376973.0,35656.0,71540.0,439695.0,28149,75.6,8%,-5666.0
2025-03-01,VEDL,203293.0,14532.0,75186.0,152968.0,20535,38.33,113%,1149.0
2025-03-01,YESBANK,424116.0,84725.0,,,2446,0.78,0%,9262.0
2025-03-01,ZYDUSLIFE,37202.0,6408.0,3213.0,23242.0,4673,44.97,24%,419.0
