Period,Stock,Sales,Net Profit,EPS in Rs,Promoters,FIIs,DIIs,Government,Public
2024-09-01,KPITTECH,1471.0,204,7.43,39.47%,20.95%,17.52%,,21.11%
2024-09-01,LAURUSLABS,1224.0,20,0.37,27.18%,26.08%,13.05%,,33.69%
2024-09-01,MOTILALOFS,2838.0,1122,18.71,68.86%,6.34%,6.41%,,18.39%
2024-09-01,NMDC,4919.0,1205,1.38,60.79%,12.60%,14.08%,,12.52%
2024-09-01,PAYTM,1660.0,930,14.58,,55.53%,8.29%,,36.17%
2024-09-01,PGEL,671.0,19,0.74,53.42%,10.69%,9.80%,,25.91%
2024-09-01,PRAJIND,816.0,54,2.93,32.81%,19.03%,17.34%,,30.82%
2024-09-01,RELIANCE,231535.0,19323,12.24,50.24%,21.30%,17.61%,0.19%,10.67%
2024-09-01,SAIL,24675.0,897,2.17,65.00%,2.82%,16.04%,0.00%,16.15%
2024-09-01,SKIPPER,1110.0,33,2.92,66.48%,4.39%,0.24%,,28.89%
2024-09-01,SUZLON,2103.0,201,0.15,13.25%,23.72%,9.02%,0.00%,54.02%
2024-09-01,TATAMOTORS,101450.0,3450,9.08,42.58%,20.54%,16.08%,0.29%,20.49%
2024-09-01,VEDL,37634.0,5603,11.13,56.38%,11.45%,16.29%,0.07%,15.64%
2024-09-01,YESBANK,7737.0,567,0.18,,27.00%,38.20%,0.01%,34.78%
2024-09-01,ZYDUSLIFE,5237.0,920,9.06,74.98%,7.52%,10.59%,0.05%,6.85%
2024-12-01,ADANIGREEN,2340.0,474,3.11,60.93%,13.68%,1.73%,,23.64%
2024-12-01,ADANIPORTS,7964.0,2518,11.67,65.89%,13.94%,14.20%,0.00%,5.96%
2024-12-01,BEL,5771.0,1312,1.79,51.14%,17.34%,20.94%,,10.58%
2024-12-01,BHEL,7277.0,135,0.39,63.17%,7.98%,15.49%,,13.36%
2024-12-01,CDSL,278.0,130,6.22,15.00%,17.15%,19.11%,,48.74%
2024-12-01,CIPLA,7073.0,1575,19.45,29.19%,26.65%,27.49%,0.23%,16.43%
2024-12-01,DRREDDY,8381.0,1404,16.94,26.64%,26.85%,22.89%,,23.46%
2024-12-01,EXIDEIND,4017.0,158,1.84,45.99%,11.72%,17.64%,,24.63%
2024-12-01,HAL,6957.0,1440,21.53,71.64%,12.26%,8.13%,0.03%,7.95%
2024-12-01,HINDZINC,8614.0,2678,6.34,63.42%,1.38%,4.12%,27.92%,3.16%
2024-12-01,IDEA,11117.0,-6609,-0.95,37.32%,10.17%,4.28%,23.18%,25.05%
2024-12-01,JIOFIN,438.0,295,0.46,47.12%,15.62%,12.46%,0.17%,24.61%
2024-12-01,JMFINANCIL,1106.0,207,2.19,56.43%,17.02%,7.20%,,19.36%
2024-12-01,KAYNES,661.0,66,10.38,57.75%,14.84%,15.04%,,12.37%
2024-12-01,KOLTEPATIL,350.0,26,3.33,69.45%,3.05%,5.96%,,21.54%
2024-12-01,KOTAKBANK,16633.0,4701,23.64,25.88%,32.48%,28.79%,,12.83%
2024-12-01,KPITTECH,1478.0,187,6.82,39.47%,17.35%,20.41%,,21.82%
2024-12-01,LAURUSLABS,1415.0,93,1.71,27.62%,25.56%,12.74%,,34.09%
2024-12-01,MOTILALOFS,1993.0,566,9.42,68.71%,5.88%,6.39%,,19.01%
2024-12-01,NMDC,6568.0,1880,2.14,60.79%,12.12%,14.46%,,12.62%
2024-12-01,PAYTM,1828.0,-208,-3.27,,56.20%,11.88%,,31.93%
2024-12-01,PGEL,968.0,40,1.4,49.37%,10.29%,16.22%,,24.11%
2024-12-01,PRAJIND,853.0,41,2.24,32.81%,18.63%,18.19%,,30.38%
2024-12-01,RELIANCE,239986.0,21930,13.7,50.13%,19.16%,19.02%,0.18%,11.52%
2024-12-01,SAIL,24490.0,142,0.34,65.00%,2.59%,15.86%,0.00%,16.55%
2024-12-01,SKIPPER,1135.0,36,3.21,66.48%,4.82%,0.48%,,28.23%
2024-12-01,SUZLON,2975.0,388,0.29,13.25%,22.87%,9.31%,0.00%,54.56%
2024-12-01,TATAMOTORS,112608.0,5485,14.69,42.58%,18.66%,16.54%,0.31%,21.91%
2024-12-01,VEDL,39115.0,4876,9.07,56.38%,12.02%,15.49%,0.07%,15.92%
2024-12-01,YESBANK,7833.0,619,0.2,,26.74%,38.84%,0.01%,34.42%
2024-12-01,ZYDUSLIFE,5269.0,1026,10.17,74.98%,7.53%,10.61%,0.05%,6.85%
2025-03-01,ADANIGREEN,3073.0,383,1.45,60.93%,12.45%,2.40%,,24.22%
2025-03-01,ADANIPORTS,8488.0,3023,13.95,65.89%,13.43%,14.73%,0.00%,5.94%
2025-03-01,BEL,9150.0,2127,2.91,51.14%,17.55%,20.87%,,10.43%
2025-03-01,BHEL,8993.0,504,1.45,63.17%,7.19%,16.34%,,13.29%
2025-03-01,CDSL,224.0,100,4.8,15.00%,11.34%,15.41%,,58.25%
2025-03-01,CIPLA,6730.0,1214,15.13,29.20%,26.28%,27.89%,0.26%,16.36%
2025-03-01,DRREDDY,8528.0,1587,19.09,26.64%,25.75%,25.63%,,21.69%
2025-03-01,EXIDEIND,4335.0,188,2.2,45.99%,11.60%,17.15%,,25.25%
2025-03-01,HAL,13700.0,3977,59.46,71.64%,12.08%,8.26%,0.04%,7.97%
2025-03-01,HINDZINC,9087.0,3003,7.11,63.42%,1.43%,4.14%,27.92%,3.10%
2025-03-01,IDEA,11014.0,-7166,-1.0,38.80%,10.10%,4.90%,22.63%,23.55%
2025-03-01,JIOFIN,493.0,316,0.5,47.12%,11.66%,14.21%,0.17%,26.83%
2025-03-01,JMFINANCIL,1004.0,235,2.19,56.50%,17.48%,7.07%,,18.94%
2025-03-01,KAYNES,984.0,116,18.15,57.75%,11.17%,16.98%,,14.10%
2025-03-01,KOLTEPATIL,719.0,66,8.59,69.45%,4.15%,5.59%,,20.81%
2025-03-01,KOTAKBANK,16772.0,4933,24.81,25.88%,32.65%,29.13%,,12.34%
2025-03-01,KPITTECH,1528.0,245,8.93,39.47%,17.17%,21.29%,,21.15%
2025-03-01,LAURUSLABS,1720.0,233,4.33,27.62%,25.51%,11.78%,,35.09%
2025-03-01,MOTILALOFS,1190.0,-63,-1.08,68.45%,6.01%,5.71%,,19.83%
2025-03-01,NMDC,7005.0,1477,1.68,60.79%,11.72%,15.12%,,12.35%
2025-03-01,PAYTM,1912.0,-545,-8.46,,55.39%,14.02%,,30.60%
2025-03-01,PGEL,1910.0,145,5.13,49.37%,10.45%,16.37%,,23.80%
2025-03-01,PRAJIND,860.0,40,2.17,32.81%,17.16%,19.51%,,30.52%
2025-03-01,RELIANCE,261388.0,22611,14.34,50.10%,19.07%,19.36%,0.17%,11.29%
2025-03-01,SAIL,29316.0,1251,3.03,65.00%,3.21%,15.75%,0.00%,16.05%
2025-03-01,SKIPPER,1288.0,48,4.25,66.48%,5.13%,0.30%,,28.08%
2025-03-01,SUZLON,3790.0,1181,0.87,13.25%,23.04%,8.73%,0.00%,54.98%
2025-03-01,TATAMOTORS,119503.0,8556,23.01,42.58%,17.84%,16.88%,0.31%,22.39%
2025-03-01,VEDL,40455.0,4961,8.91,56.38%,11.15%,16.38%,0.07%,15.89%
2025-03-01,YESBANK,7623.0,745,0.24,,26.88%,39.52%,0.01%,33.60%
2025-03-01,ZYDUSLIFE,6528.0,1244,11.64,75.00%,7.31%,10.95%,0.05%,6.69%
