Ticker,Column,MAE,RMSE
ABB.NS,Close,399.901089226556,514.4850705559122
ABB.NS,Open,438.00393057437356,520.5680084745172
ABB.NS,High,567.4322387729368,633.9835120224136
ABB.NS,Low,458.3950587870548,557.2153422281435
ADANIGREEN.NS,Close,109.1576276665879,137.29210240085362
ADANIGREEN.NS,Open,81.08164939276558,95.41333491379126
ADANIGREEN.NS,High,46.95989080141798,71.01018108848263
ADANIGREEN.NS,Low,51.05756521635091,71.1817639548477
ADANIPORTS.NS,Close,33.71191947833332,42.91236581662174
ADANIPORTS.NS,Open,49.90878430139905,62.01995002697548
ADANIPORTS.NS,High,41.75721461977063,49.97803098098218
ADANIPORTS.NS,Low,48.80320849716433,60.84674757726336
BANKBEES.NS,Close,15.422169953905136,18.444143995195148
BANKBEES.NS,Open,14.870312463038784,16.88230950925807
BANKBEES.NS,High,20.835760737855452,23.200944242716343
BANKBEES.NS,Low,7.917192767378721,9.73375818387857
BEL.NS,Close,42.11169770617665,45.855232425537466
BEL.NS,Open,46.82243245367243,49.042404009308264
BEL.NS,High,41.14060788290476,44.09798083734135
BEL.NS,Low,50.838478674751414,53.20871288706563
BHEL.NS,Close,12.273860916272719,15.038420661791882
BHEL.NS,Open,9.91972205541841,12.12456100205701
BHEL.NS,High,9.933850151088327,11.839390341754221
BHEL.NS,Low,13.419711374109873,16.253581675432944
CDSL.NS,Close,214.6535117608185,247.35331948474504
CDSL.NS,Open,166.75882640621603,193.52555679731523
CDSL.NS,High,200.34482894266705,224.5817500843739
CDSL.NS,Low,181.61981867684173,210.46728157299827
CIPLA.NS,Close,49.94058627311604,62.763902965957634
CIPLA.NS,Open,89.35549702589408,98.70414782924084
CIPLA.NS,High,41.9957568547917,51.17026896585365
CIPLA.NS,Low,51.282038547683634,63.31018130919153
CPSEETF.NS,Close,5.18247470701328,5.8460497122431105
CPSEETF.NS,Open,3.1364189229359605,3.773896272704951
CPSEETF.NS,High,1.9327192012872745,2.448498773366467
CPSEETF.NS,Low,2.767653960856485,3.4157416866639334
DRREDDY.NS,Close,33.307588930008556,39.79520015933497
DRREDDY.NS,Open,39.184630716952086,47.01869719562244
DRREDDY.NS,High,32.9258237457533,38.907600570352386
DRREDDY.NS,Low,28.432381315095,35.22539707037713
EXIDEIND.NS,Close,32.12681999381371,38.988626409666956
EXIDEIND.NS,Open,28.514615455744366,32.62288524750348
EXIDEIND.NS,High,32.953076686182996,41.17591305522855
EXIDEIND.NS,Low,37.203857225716796,43.392477781826734
GOLDBEES.NS,Close,5.387558697543963,6.0459521964324
GOLDBEES.NS,Open,3.8659310614022857,4.680828085143846
GOLDBEES.NS,High,3.6573327506670728,4.671185405369538
GOLDBEES.NS,Low,3.8758708911843582,4.641623491408397
HAL.NS,Close,329.3785424664384,381.0839793089925
HAL.NS,Open,331.1790265143134,403.77435357434774
HAL.NS,High,308.13453937090316,380.2417646598906
HAL.NS,Low,289.09483462669334,350.8967309202025
HINDZINC.NS,Close,60.05143479969123,65.37030807303684
HINDZINC.NS,Open,54.288445052383175,58.725099499793686
HINDZINC.NS,High,85.5338557628148,91.81393502971092
HINDZINC.NS,Low,48.027398839303984,53.57163479378171
IDEA.NS,Close,0.4608369069446474,0.5575664453823911
IDEA.NS,Open,0.4325641835188199,0.5527613944673413
IDEA.NS,High,0.45798113998130635,0.6108442485456786
IDEA.NS,Low,0.43645341617573896,0.5554099198807554
JMFINANCIL.NS,Close,10.806497312373844,13.425778299924858
JMFINANCIL.NS,Open,10.729836268108068,13.294058626152777
JMFINANCIL.NS,High,9.368133804187067,11.982422157275204
JMFINANCIL.NS,Low,10.325946744337399,12.526455198447783
JUNIORBEES.NS,Close,34.907217003046426,39.159137909485736
JUNIORBEES.NS,Open,56.42217585604438,61.313009534137684
JUNIORBEES.NS,High,71.56973087174192,77.1654511665186
JUNIORBEES.NS,Low,32.32766118708686,39.282974153275624
KOLTEPATIL.NS,Close,24.452861227516955,28.063881440099827
KOLTEPATIL.NS,Open,10.043408026965736,12.561620932524807
KOLTEPATIL.NS,High,18.70667569427204,21.00661543791088
KOLTEPATIL.NS,Low,9.226918606921233,11.539691803320807
KOTAKBANK.NS,Close,45.1639669953319,59.255070392078274
KOTAKBANK.NS,Open,32.84569316393303,43.42302694596443
KOTAKBANK.NS,High,33.27834516689187,46.54603658065117
KOTAKBANK.NS,Low,32.62073475244012,43.38859046913887
KPITTECH.NS,Close,85.357500604625,102.28539562229463
KPITTECH.NS,Open,74.47294961279736,92.76452446102563
KPITTECH.NS,High,94.85762863923624,112.60297119759609
KPITTECH.NS,Low,83.0154761457998,103.47905107041699
LAURUSLABS.NS,Close,22.95579305767197,28.746008691512387
LAURUSLABS.NS,Open,19.302910379146226,23.536523402719723
LAURUSLABS.NS,High,27.86361699293357,33.2917578045366
LAURUSLABS.NS,Low,20.66221392631103,26.488262521859323
MID150BEES.NS,Close,2.9056355592944256,3.4981184157466902
MID150BEES.NS,Open,3.0476447180623087,3.82681313265637
MID150BEES.NS,High,3.701333373064151,4.421021974185135
MID150BEES.NS,Low,2.9846363601491936,3.7741967112603976
MON100.NS,Close,19.483469066784036,22.73322376559771
MON100.NS,Open,5.575581714019416,7.747442557183277
MON100.NS,High,15.754964563929285,17.67683047332578
MON100.NS,Low,9.241110849466882,12.322525775381232
MOTILALOFS.NS,Close,30.65685163871282,39.751596958492186
MOTILALOFS.NS,Open,64.50931953368377,71.26300472066099
MOTILALOFS.NS,High,33.23892688759789,42.56247249093645
MOTILALOFS.NS,Low,65.73606257419078,75.4071457765432
