[2025-06-30 10:20:21]  109 root - INFO - Loading and preparing data...
[2025-06-30 10:20:22]  33 root - INFO - Data loaded to DataFrame successfully
[2025-06-30 10:20:22]  344 root - INFO - Applying all technical indicators for column: Ticker
[2025-06-30 10:20:22]  32 root - INFO - Calculating SMA for column: Ticker
[2025-06-30 10:20:22]  37 root - INFO - SMA calculation completed successfully
[2025-06-30 10:20:22]  47 root - INFO - Calculating EMA for column: Ticker
[2025-06-30 10:20:22]  51 root - INFO - EMA calculation completed successfully
[2025-06-30 10:20:22]  61 root - INFO - Calculating Bollinger Bands for column: Ticker
[2025-06-30 10:20:22]  65 root - INFO - Bollinger Bands calculation completed successfully
[2025-06-30 10:20:22]  75 root - INFO - Calculating Pivot Points for column: Ticker
[2025-06-30 10:20:22]  89 root - INFO - Pivot Points calculation completed successfully
[2025-06-30 10:20:22]  99 root - INFO - Calculating Ichimoku Cloud for column: Ticker
[2025-06-30 10:20:22]  109 root - INFO - Ichimoku Cloud calculation completed successfully
[2025-06-30 10:20:22]  119 root - INFO - Calculating MACD for column: Ticker
[2025-06-30 10:20:23]  129 root - INFO - MACD calculation completed successfully
[2025-06-30 10:20:23]  139 root - INFO - Calculating RSI for column: Ticker
[2025-06-30 10:20:23]  151 root - INFO - RSI calculation completed successfully
[2025-06-30 10:20:23]  161 root - INFO - Calculating ATR for column: Ticker
[2025-06-30 10:20:23]  171 root - INFO - ATR calculation completed successfully
[2025-06-30 10:20:23]  181 root - INFO - Calculating Stochastic Oscillator for column: Ticker
[2025-06-30 10:20:23]  191 root - INFO - Stochastic Oscillator calculation completed successfully
[2025-06-30 10:20:23]  201 root - INFO - Calculating SAR for column: Ticker
[2025-06-30 10:20:24]  253 root - INFO - SAR calculation completed successfully
[2025-06-30 10:20:24]  287 root - INFO - Calculating Fibonacci Retracement for column: Ticker
[2025-06-30 10:20:24]  298 root - INFO - Fibonacci Retracement calculation completed successfully
[2025-06-30 10:20:24]  263 root - INFO - Calculating OBV for column: Ticker
[2025-06-30 10:20:25]  277 root - INFO - OBV calculation completed successfully
[2025-06-30 10:20:25]  308 root - INFO - Calculating Garman-Klass Volatility for column: Ticker
[2025-06-30 10:20:26]  317 root - INFO - Garman-Klass Volatility calculation completed successfully
[2025-06-30 10:20:26]  327 root - INFO - Calculating Donchian Channel for column: Ticker
[2025-06-30 10:20:26]  334 root - INFO - Donchian Channel calculation completed successfully
[2025-06-30 10:20:26]  364 root - INFO - All technical indicators applied successfully
[2025-06-30 10:20:26]  72 root - INFO - Processed data shape: (55405, 63)
[2025-06-30 10:20:26]  84 root - INFO - Transformed ABB.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed ADANIGREEN.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed ADANIPORTS.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed BANKBEES.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed BEL.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed BHEL.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed CDSL.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed CIPLA.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed CPSEETF.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed DRREDDY.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed EXIDEIND.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed GOLDBEES.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed HAL.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed HDFCSML250.NS: 526 sequences, 420 train, 106 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed HINDZINC.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed IDEA.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed IRFC.NS: 1038 sequences, 830 train, 208 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed ITBEES.NS: 1162 sequences, 929 train, 233 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed JIOFIN.NS: 401 sequences, 320 train, 81 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed JMFINANCIL.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed JUNIORBEES.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed KAYNES.NS: 590 sequences, 472 train, 118 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed KOLTEPATIL.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed KOTAKBANK.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed KPITTECH.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed LAURUSLABS.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed MAHKTECH.NS: 825 sequences, 660 train, 165 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed MASPTOP50.NS: 877 sequences, 701 train, 176 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed MID150BEES.NS: 1164 sequences, 931 train, 233 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed MODEFENCE.NS: 154 sequences, 123 train, 31 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed MON100.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed MOTILALOFS.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed NIFTYBEES.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed NMDC.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed PAYTM.NS: 840 sequences, 672 train, 168 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed PGEL.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed PHARMABEES.NS: 912 sequences, 729 train, 183 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed PRAJIND.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed PSUBNKIETF.NS: 488 sequences, 390 train, 98 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed RELIANCE.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed SAIL.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 10:20:26]  84 root - INFO - Transformed SKIPPER.NS: 1186 sequences, 948 train, 238 test
